0,1,2,3,4,5
810.0,110.0,623.0,36.0,67.0,11.0
783.0,92.0,612.0,31.0,57.0,4.0
788.0,51.0,628.0,12.0,36.0,6.0
733.0,93.0,584.0,38.0,33.0,6.0
823.0,72.0,595.0,22.0,41.0,113.0
844.0,101.0,728.0,31.0,66.0,13.0
884.0,96.0,776.0,37.0,53.0,11.0
888.0,107.0,768.0,25.0,94.0,11.0
904.0,59.0,797.0,16.0,46.0,5.0
901.0,79.0,799.0,41.0,33.0,6.0
898.0,64.0,804.0,23.0,41.0,4.0
789.0,83.0,692.0,25.0,59.0,11.0
770.0,61.0,672.0,24.0,36.0,8.0
740.0,71.0,633.0,22.0,45.0,6.0
673.0,87.0,550.0,33.0,64.0,8.0
699.0,83.0,588.0,25.0,61.0,9.0
708.0,52.0,608.0,17.0,36.0,11.0
706.0,80.0,613.0,26.0,50.0,2.0
701.0,65.0,593.0,18.0,55.0,5.0
713.0,65.0,612.0,18.0,48.0,10.0
717.0,65.0,622.0,20.0,42.0,9.0
702.0,65.0,597.0,18.0,50.0,8.0
674.0,58.0,575.0,18.0,40.0,9.0
710.0,63.0,608.0,16.0,50.0,12.0
705.0,70.0,611.0,13.0,59.0,9.0
696.0,50.0,606.0,16.0,30.0,6.0
672.0,52.0,575.0,12.0,40.0,3.0
654.0,46.0,566.0,17.0,29.0,9.0
634.0,42.0,546.0,10.0,34.0,11.0
630.0,55.0,550.0,14.0,44.0,8.0
605.0,53.0,523.0,14.0,47.0,9.0
577.0,47.0,512.0,13.0,34.0,3.0
558.0,30.0,501.0,5.0,29.0,6.0
537.0,45.0,489.0,15.0,26.0,12.0
528.0,49.0,472.0,10.0,43.0,4.0
532.0,36.0,476.0,8.0,32.0,7.0
505.0,60.0,448.0,21.0,32.0,4.0
500.0,38.0,436.0,7.0,30.0,4.0
513.0,50.0,445.0,14.0,44.0,10.0
538.0,53.0,481.0,15.0,41.0,4.0
580.0,132.0,511.0,34.0,108.0,13.0
762.0,306.0,643.0,89.0,282.0,18.0
1062.0,145.0,987.0,20.0,164.0,25.0
1161.0,96.0,1136.0,21.0,83.0,9.0
1243.0,111.0,1220.0,24.0,84.0,20.0
1329.0,244.0,1268.0,42.0,225.0,52.0
1541.0,249.0,1529.0,21.0,296.0,32.0
1649.0,150.0,1714.0,22.0,173.0,36.0
1481.0,164.0,1590.0,23.0,163.0,33.0
1493.0,104.0,1608.0,19.0,135.0,20.0
1507.0,100.0,1669.0,13.0,99.0,19.0
1509.0,87.0,1673.0,16.0,90.0,14.0
1334.0,95.0,1477.0,19.0,84.0,8.0
1172.0,82.0,1215.0,17.0,76.0,12.0
1117.0,104.0,1082.0,12.0,108.0,14.0
1061.0,147.0,1001.0,27.0,119.0,20.0
1116.0,169.0,1007.0,22.0,158.0,47.0
1216.0,142.0,1122.0,29.0,115.0,21.0
1296.0,173.0,1176.0,34.0,156.0,23.0
1468.0,269.0,1287.0,48.0,257.0,33.0
1837.0,376.0,1567.0,59.0,376.0,86.0
2154.0,213.0,1994.0,33.0,201.0,36.0
2275.0,168.0,2148.0,29.0,148.0,80.0
2274.0,182.0,2198.0,31.0,184.0,173.0
2334.0,152.0,2422.0,24.0,142.0,35.0
2330.0,146.0,2410.0,17.0,149.0,35.0
2196.0,115.0,2273.0,13.0,111.0,25.0
1821.0,96.0,1856.0,11.0,95.0,23.0
1685.0,86.0,1702.0,15.0,76.0,15.0
1565.0,140.0,1559.0,25.0,131.0,31.0
1362.0,100.0,1342.0,23.0,76.0,14.0
1267.0,65.0,1223.0,2.0,69.0,13.0
1139.0,69.0,1095.0,11.0,52.0,12.0
1077.0,93.0,1018.0,9.0,90.0,25.0
1071.0,95.0,1017.0,5.0,95.0,18.0
1088.0,97.0,1026.0,9.0,87.0,31.0
1019.0,133.0,955.0,26.0,111.0,28.0
1046.0,114.0,987.0,18.0,100.0,48.0
1116.0,116.0,1072.0,19.0,107.0,27.0
1207.0,139.0,1173.0,25.0,113.0,28.0
1267.0,151.0,1225.0,24.0,128.0,27.0
1553.0,440.0,1407.0,70.0,422.0,102.0
1973.0,246.0,1919.0,36.0,226.0,61.0
2141.0,218.0,2112.0,29.0,189.0,38.0
2255.0,173.0,2223.0,28.0,148.0,25.0
2353.0,254.0,2302.0,39.0,205.0,47.0
2481.0,163.0,2428.0,21.0,139.0,29.0
2614.0,341.0,2482.0,37.0,349.0,41.0
2421.0,227.0,2306.0,22.0,207.0,70.0
2358.0,126.0,2270.0,14.0,118.0,75.0
2239.0,112.0,2210.0,10.0,111.0,20.0
2184.0,156.0,2133.0,27.0,125.0,26.0
1999.0,155.0,1929.0,23.0,128.0,27.0
1999.0,141.0,1913.0,19.0,119.0,18.0
1713.0,135.0,1590.0,16.0,121.0,27.0
1594.0,121.0,1423.0,19.0,98.0,58.0
1533.0,123.0,1371.0,17.0,120.0,27.0
1538.0,110.0,1386.0,18.0,93.0,22.0
1493.0,99.0,1347.0,10.0,92.0,10.0
1449.0,128.0,1285.0,11.0,135.0,22.0
1447.0,155.0,1293.0,15.0,135.0,26.0
1477.0,157.0,1314.0,11.0,149.0,26.0
1526.0,207.0,1331.0,27.0,168.0,38.0
1613.0,173.0,1409.0,30.0,126.0,38.0
1734.0,268.0,1496.0,53.0,193.0,45.0
1935.0,197.0,1700.0,19.0,181.0,61.0
2019.0,274.0,1803.0,25.0,266.0,74.0
2126.0,156.0,1969.0,21.0,139.0,31.0
2163.0,139.0,1977.0,14.0,147.0,28.0
2098.0,129.0,1942.0,15.0,116.0,35.0
2189.0,130.0,1943.0,22.0,106.0,147.0
2064.0,159.0,1923.0,21.0,144.0,72.0
1996.0,148.0,1872.0,14.0,135.0,44.0
1880.0,216.0,1722.0,17.0,204.0,40.0
1974.0,205.0,1821.0,8.0,215.0,39.0
