0,1,2,3,4,5
40.0,4.0,20.0,2.0,0.0,0.0
36.0,7.0,18.0,4.0,0.0,0.0
39.0,12.0,20.0,6.0,0.0,0.0
54.0,21.0,27.0,11.0,1.0,0.0
189.0,1695.0,84.0,1280.0,70.0,1.0
1950.0,1020.0,1466.0,471.0,318.0,28.0
2991.0,545.0,2292.0,190.0,255.0,40.0
3539.0,230.0,2778.0,72.0,103.0,13.0
3777.0,183.0,2967.0,48.0,104.0,11.0
3968.0,220.0,3132.0,47.0,139.0,11.0
4184.0,272.0,3324.0,72.0,170.0,16.0
3072.0,215.0,2241.0,50.0,176.0,58.0
2284.0,167.0,1698.0,46.0,128.0,77.0
1889.0,117.0,1479.0,41.0,77.0,45.0
1734.0,113.0,1434.0,26.0,101.0,19.0
1632.0,87.0,1388.0,24.0,43.0,13.0
1493.0,154.0,1268.0,34.0,101.0,19.0
1386.0,103.0,1173.0,34.0,42.0,18.0
1255.0,78.0,983.0,21.0,53.0,28.0
1096.0,58.0,832.0,15.0,31.0,9.0
982.0,41.0,716.0,14.0,20.0,4.0
909.0,73.0,618.0,20.0,40.0,10.0
903.0,71.0,617.0,23.0,38.0,48.0
857.0,98.0,565.0,24.0,71.0,120.0
884.0,94.0,690.0,31.0,62.0,36.0
899.0,96.0,725.0,22.0,75.0,18.0
946.0,58.0,790.0,21.0,34.0,11.0
1008.0,76.0,831.0,20.0,60.0,16.0
1009.0,41.0,854.0,11.0,33.0,11.0
926.0,37.0,786.0,3.0,43.0,3.0
760.0,63.0,619.0,14.0,48.0,11.0
692.0,68.0,561.0,20.0,35.0,7.0
688.0,139.0,501.0,32.0,79.0,14.0
809.0,120.0,574.0,29.0,84.0,50.0
862.0,48.0,651.0,14.0,36.0,64.0
905.0,56.0,729.0,10.0,50.0,16.0
929.0,60.0,757.0,11.0,53.0,6.0
915.0,57.0,752.0,16.0,35.0,12.0
907.0,56.0,753.0,16.0,49.0,8.0
828.0,73.0,688.0,18.0,65.0,12.0
743.0,61.0,610.0,22.0,59.0,8.0
715.0,62.0,584.0,24.0,43.0,13.0
708.0,55.0,588.0,12.0,50.0,11.0
721.0,71.0,592.0,16.0,43.0,15.0
755.0,78.0,606.0,20.0,40.0,12.0
808.0,72.0,624.0,15.0,59.0,58.0
858.0,140.0,675.0,35.0,113.0,35.0
949.0,99.0,770.0,27.0,68.0,27.0
994.0,87.0,806.0,23.0,46.0,16.0
1021.0,56.0,818.0,11.0,35.0,11.0
1024.0,74.0,810.0,23.0,48.0,62.0
1036.0,87.0,868.0,16.0,59.0,16.0
1028.0,75.0,830.0,17.0,63.0,40.0
914.0,56.0,748.0,15.0,40.0,46.0
882.0,52.0,732.0,7.0,43.0,14.0
862.0,58.0,720.0,12.0,37.0,3.0
884.0,54.0,708.0,16.0,28.0,7.0
794.0,24.0,612.0,7.0,10.0,2.0
722.0,32.0,531.0,5.0,23.0,6.0
594.0,12.0,420.0,2.0,8.0,1.0
506.0,36.0,319.0,8.0,21.0,3.0
447.0,24.0,275.0,2.0,26.0,2.0
427.0,39.0,249.0,9.0,21.0,6.0
422.0,87.0,231.0,19.0,52.0,13.0
1156.0,1559.0,324.0,370.0,1753.0,49.0
2769.0,236.0,2466.0,33.0,276.0,161.0
3054.0,187.0,2929.0,33.0,195.0,85.0
3265.0,135.0,3209.0,18.0,159.0,31.0
3409.0,175.0,3385.0,44.0,131.0,34.0
3614.0,174.0,3552.0,30.0,164.0,56.0
3885.0,334.0,3722.0,64.0,315.0,134.0
2661.0,592.0,2321.0,79.0,618.0,139.0
3146.0,869.0,2758.0,120.0,856.0,137.0
3779.0,339.0,3547.0,27.0,326.0,31.0
3968.0,251.0,3732.0,23.0,236.0,60.0
4053.0,188.0,3858.0,12.0,187.0,100.0
4003.0,159.0,3886.0,13.0,150.0,21.0
3692.0,116.0,3545.0,8.0,115.0,53.0
2966.0,118.0,2805.0,7.0,122.0,18.0
1883.0,135.0,1746.0,15.0,132.0,14.0
1710.0,159.0,1531.0,16.0,152.0,14.0
1543.0,163.0,1372.0,12.0,157.0,11.0
1503.0,207.0,1288.0,20.0,207.0,26.0
1627.0,258.0,1392.0,30.0,247.0,30.0
1761.0,169.0,1527.0,17.0,149.0,17.0
1812.0,141.0,1566.0,12.0,130.0,16.0
1867.0,212.0,1587.0,18.0,198.0,25.0
1963.0,205.0,1673.0,20.0,197.0,38.0
2090.0,286.0,1790.0,23.0,279.0,26.0
2184.0,285.0,1861.0,21.0,261.0,15.0
2204.0,254.0,1852.0,20.0,224.0,26.0
2345.0,274.0,1957.0,21.0,257.0,43.0
2507.0,220.0,2134.0,59.0,186.0,21.0
2510.0,247.0,2144.0,5.0,263.0,67.0
2514.0,214.0,2202.0,8.0,221.0,27.0
2356.0,200.0,2055.0,11.0,199.0,23.0
2240.0,180.0,1960.0,6.0,180.0,34.0
2157.0,230.0,1883.0,7.0,239.0,28.0
2034.0,231.0,1788.0,16.0,240.0,24.0
2008.0,172.0,1765.0,8.0,171.0,39.0
1912.0,185.0,1647.0,7.0,185.0,47.0
1876.0,138.0,1645.0,6.0,142.0,57.0
2069.0,335.0,1709.0,24.0,324.0,122.0
2943.0,1318.0,2157.0,108.0,1315.0,269.0
4146.0,614.0,3639.0,41.0,671.0,178.0
4666.0,453.0,4375.0,24.0,517.0,311.0
5299.0,748.0,5114.0,53.0,797.0,155.0
6011.0,617.0,5924.0,30.0,703.0,152.0
6520.0,477.0,6613.0,25.0,531.0,100.0
6593.0,530.0,6785.0,62.0,601.0,139.0
5523.0,343.0,5831.0,13.0,402.0,76.0
5220.0,345.0,5427.0,6.0,395.0,72.0
4841.0,380.0,4999.0,16.0,424.0,80.0
4088.0,334.0,4373.0,22.0,368.0,77.0
3587.0,304.0,3854.0,13.0,325.0,64.0
3385.0,244.0,3594.0,7.0,267.0,64.0
3042.0,236.0,3119.0,7.0,262.0,67.0
2922.0,292.0,2952.0,9.0,319.0,72.0
2827.0,186.0,2862.0,1.0,208.0,64.0
2592.0,196.0,2607.0,5.0,220.0,69.0
2472.0,172.0,2459.0,6.0,188.0,60.0
2356.0,210.0,2337.0,5.0,247.0,79.0
2316.0,185.0,2343.0,7.0,197.0,54.0
2158.0,25.0,2224.0,1.0,25.0,1.0
1818.0,126.0,1797.0,4.0,138.0,31.0
1787.0,283.0,1727.0,6.0,318.0,73.0
1848.0,199.0,1821.0,6.0,214.0,45.0
1823.0,183.0,1797.0,5.0,201.0,37.0
1720.0,159.0,1678.0,8.0,164.0,40.0
1682.0,130.0,1623.0,3.0,153.0,37.0
1883.0,145.0,1818.0,3.0,164.0,52.0
1948.0,153.0,1888.0,1.0,174.0,41.0
1775.0,147.0,1678.0,4.0,155.0,34.0
1694.0,114.0,1586.0,0.0,125.0,29.0
1625.0,116.0,1495.0,0.0,130.0,54.0
1640.0,164.0,1499.0,6.0,180.0,72.0
1705.0,140.0,1577.0,4.0,153.0,47.0
1689.0,95.0,1586.0,3.0,103.0,35.0
1614.0,84.0,1518.0,0.0,96.0,47.0
1557.6874,128.73996,1471.3995,23.203014,129.88306,44.544704
1429.6584,118.12342,1349.803,21.664371,118.845695,40.730618
