Epoch: 01 | Edge Type: o-o-bank | Train Loss: 0.5642 | Train AUCROC: 0.6261 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-o-nobank | Train Loss: 0.6976 | Train AUCROC: 0.5684 | GPU: 0.0MiB
Epoch: 01 | Edge Type: o-n | Train Loss: 0.9786 | Train AUCROC: 0.6797 | GPU: 0.0MiB
Epoch: 01 | Edge Type: n-n | Train Loss: 0.6935 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-bank | Train Loss: 0.5006 | Train AUCROC: 0.7225 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-o-nobank | Train Loss: 0.6482 | Train AUCROC: 0.6557 | GPU: 0.0MiB
Epoch: 02 | Edge Type: o-n | Train Loss: 0.6023 | Train AUCROC: 0.6585 | GPU: 0.0MiB
Epoch: 02 | Edge Type: n-n | Train Loss: 0.6933 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-bank | Train Loss: 0.5038 | Train AUCROC: 0.7087 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-o-nobank | Train Loss: 0.6278 | Train AUCROC: 0.7118 | GPU: 0.0MiB
Epoch: 03 | Edge Type: o-n | Train Loss: 0.6038 | Train AUCROC: 0.6655 | GPU: 0.0MiB
Epoch: 03 | Edge Type: n-n | Train Loss: 0.6933 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-bank | Train Loss: 0.4917 | Train AUCROC: 0.7232 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-o-nobank | Train Loss: 0.6069 | Train AUCROC: 0.6791 | GPU: 0.0MiB
Epoch: 04 | Edge Type: o-n | Train Loss: 0.6046 | Train AUCROC: 0.6610 | GPU: 0.0MiB
Epoch: 04 | Edge Type: n-n | Train Loss: 0.6934 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-bank | Train Loss: 0.4859 | Train AUCROC: 0.7144 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-o-nobank | Train Loss: 0.5812 | Train AUCROC: 0.7193 | GPU: 0.0MiB
Epoch: 05 | Edge Type: o-n | Train Loss: 0.5953 | Train AUCROC: 0.6637 | GPU: 0.0MiB
Epoch: 05 | Edge Type: n-n | Train Loss: 0.6933 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-bank | Train Loss: 0.4911 | Train AUCROC: 0.7319 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-o-nobank | Train Loss: 0.5732 | Train AUCROC: 0.7602 | GPU: 0.0MiB
Epoch: 06 | Edge Type: o-n | Train Loss: 0.5938 | Train AUCROC: 0.6613 | GPU: 0.0MiB
Epoch: 06 | Edge Type: n-n | Train Loss: 0.6934 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-bank | Train Loss: 0.4805 | Train AUCROC: 0.7224 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-o-nobank | Train Loss: 0.5454 | Train AUCROC: 0.7481 | GPU: 0.0MiB
Epoch: 07 | Edge Type: o-n | Train Loss: 0.7232 | Train AUCROC: 0.6690 | GPU: 0.0MiB
Epoch: 07 | Edge Type: n-n | Train Loss: 0.6933 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-bank | Train Loss: 0.4762 | Train AUCROC: 0.7207 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-o-nobank | Train Loss: 0.5457 | Train AUCROC: 0.7816 | GPU: 0.0MiB
Epoch: 08 | Edge Type: o-n | Train Loss: 0.5944 | Train AUCROC: 0.6658 | GPU: 0.0MiB
Epoch: 08 | Edge Type: n-n | Train Loss: 0.6933 | Train AUCROC: 0.5000 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-bank | Train Loss: 0.4771 | Train AUCROC: 0.7201 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-o-nobank | Train Loss: 1.6721 | Train AUCROC: 0.7435 | GPU: 0.0MiB
Epoch: 09 | Edge Type: o-n | Train Loss: 0.5943 | Train AUCROC: 0.6624 | GPU: 0.0MiB
Epoch: 09 | Edge Type: n-n | Train Loss: 0.6933 | Train AUCROC: 0.5000 | GPU: 0.0MiB
