0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1140.0,316.0,3.762944e+23,1140.0,316.0,3.762944e+23,1140.0,316.0,3.762944e+23,1140.0,316.0,3.762944e+23,1140.0,316.0,3.762944e+23,1140.0,316.0,3.762944e+23,1140.0,316.0,3.762944e+23,1356.0,469.0,6.590805e+23,1356.0,469.0,6.590805e+23,1397.0,1144.0,1.3556505e+24
1097.0,305.0,3.6119002e+23,1097.0,305.0,3.6119002e+23,1097.0,305.0,3.6119002e+23,1097.0,305.0,3.6119002e+23,1097.0,305.0,3.6119002e+23,1097.0,305.0,3.6119002e+23,1097.0,305.0,3.6119002e+23,1297.0,448.0,4.9723984e+23,1297.0,448.0,4.9723984e+23,1334.0,1085.0,1.1725137e+24
1097.0,302.0,3.720471e+23,1097.0,302.0,3.720471e+23,1097.0,302.0,3.720471e+23,1097.0,302.0,3.720471e+23,1097.0,302.0,3.720471e+23,1097.0,302.0,3.720471e+23,1097.0,302.0,3.720471e+23,1283.0,433.0,5.7598377e+23,1283.0,433.0,5.7598377e+23,1318.0,1069.0,1.1554211e+24
1119.0,304.0,3.582633e+23,1119.0,304.0,3.582633e+23,1119.0,304.0,3.582633e+23,1119.0,304.0,3.582633e+23,1119.0,304.0,3.582633e+23,1119.0,304.0,3.582633e+23,1119.0,304.0,3.582633e+23,1302.0,437.0,5.8262204e+23,1302.0,437.0,5.8262204e+23,1336.0,1081.0,1.3426794e+24
1073.0,300.0,5.5546976e+23,1073.0,300.0,5.5546976e+23,1073.0,300.0,5.5546976e+23,1073.0,300.0,5.5546976e+23,1073.0,300.0,5.5546976e+23,1073.0,300.0,5.5546976e+23,1073.0,300.0,5.5546976e+23,1251.0,421.0,7.749168e+23,1251.0,421.0,7.749168e+23,1280.0,1032.0,1.5273408e+24
1098.0,317.0,5.9543615e+23,1098.0,317.0,5.9543615e+23,1098.0,317.0,5.9543615e+23,1098.0,317.0,5.9543615e+23,1098.0,317.0,5.9543615e+23,1098.0,317.0,5.9543615e+23,1098.0,317.0,5.9543615e+23,1280.0,445.0,7.840053e+23,1280.0,445.0,7.840053e+23,1308.0,1039.0,1.4071756e+24
1111.0,328.0,1.053673e+24,1111.0,328.0,1.053673e+24,1111.0,328.0,1.053673e+24,1111.0,328.0,1.053673e+24,1111.0,328.0,1.053673e+24,1111.0,328.0,1.053673e+24,1111.0,328.0,1.053673e+24,1311.0,472.0,1.1914489e+24,1311.0,472.0,1.1914489e+24,1338.0,1059.0,1.8396174e+24
1215.0,367.0,1.330334e+24,1215.0,367.0,1.330334e+24,1215.0,367.0,1.330334e+24,1215.0,367.0,1.330334e+24,1215.0,367.0,1.330334e+24,1215.0,367.0,1.330334e+24,1215.0,367.0,1.330334e+24,1436.0,530.0,1.4870098e+24,1436.0,530.0,1.4870098e+24,1464.0,1147.0,2.3537994e+24
1250.0,377.0,1.3008788e+24,1250.0,377.0,1.3008788e+24,1250.0,377.0,1.3008788e+24,1250.0,377.0,1.3008788e+24,1250.0,377.0,1.3008788e+24,1250.0,377.0,1.3008788e+24,1250.0,377.0,1.3008788e+24,1485.0,560.0,1.5000408e+24,1485.0,560.0,1.5000408e+24,1518.0,1190.0,2.4734334e+24
1327.0,398.0,1.18452575e+24,1327.0,398.0,1.18452575e+24,1327.0,398.0,1.18452575e+24,1327.0,398.0,1.18452575e+24,1327.0,398.0,1.18452575e+24,1327.0,398.0,1.18452575e+24,1327.0,398.0,1.18452575e+24,1588.0,593.0,1.4358345e+24,1588.0,593.0,1.4358345e+24,1625.0,1289.0,2.387131e+24
